sifra;url
dc;https://maxi.sales-snap.com/asset/1547:home-banner1367x547-minpng8
dc;https://maxi.sales-snap.com/asset/1448:home-banner1367x547png3
dc;https://maxi.sales-snap.com/asset/1412:home-banner11367x547png
mc;https://maxi.sales-snap.com/asset/1449:home-bannermobpng
mc;https://maxi.sales-snap.com/asset/1413:home-banner1mobpng
mc;https://maxi.sales-snap.com/asset/1371:home-bannermob-minpng8
hpc;https://maxi.sales-snap.com/asset/1372:kategorijeplava-cenahome-page-minpng3
pc;https://maxi.sales-snap.com/asset/935:kategorije1plava-cenadesktoppng2
pdf-d;https://view.publitas.com/maxi-serbia-en-folder/maxi-weekly-leaflet-17-11-23-11-2022/?publitas_embed=embedded
pdf-m;https://view.publitas.com/maxi-serbia-en-folder/maxi-nedeljni-liflet-26-1-2-1-2023-small-case/?publitas_embed=maximized
